"","qry_id","repeat_id","matching_repeat","matching_class","reference_length","merged_qrystart","merged_qryend","mergedfraglength","perc_div","perc_del","perc_insert","V1","locus"
"1244","NM_001127039.1","hAT-N12_XT","+","DNA/hAT-Tip100",156,1994,2124,131,8.4,12.2,0,">NM_001127039.1 Xenopus tropicalis cytochrome P450 family 7 subfamily B member 1 (cyp7b1), mRNA","cyp7b1"
"1245","NM_001127039.1","Harbinger-N5_XT","+","DNA/PIF-Harbinger",340,2156,2377,222,10.8,6.3,0,">NM_001127039.1 Xenopus tropicalis cytochrome P450 family 7 subfamily B member 1 (cyp7b1), mRNA","cyp7b1"
"1246","NM_001127041.1","XBR_Xt","C","DNA/Kolobok-T2",469,3131,3480,350,15.3,6.9,3,">NM_001127041.1 Xenopus tropicalis exocyst complex component 1 (exoc1), mRNA","exoc1"
"1247","NM_001127049.1","XBR_Xt","+","DNA/Kolobok-T2",469,2614,2958,345,17.5,5.8,0.6,">NM_001127049.1 Xenopus tropicalis TBC1 domain family member 13 (tbc1d13), mRNA","tbc1d13"
"1248","NM_001127051.1","L1-11_XT","+","LINE/L1",5741,3538,3669,132,15,12.1,8.8,">NM_001127051.1 Xenopus tropicalis peptidase M20 domain containing 1 (pm20d1), mRNA","pm20d1"
"1249","NM_001127051.1","Kolobok-N7_XT","+","DNA/Kolobok-T2",611,2834,3010,177,5.5,6.2,8.1,">NM_001127051.1 Xenopus tropicalis peptidase M20 domain containing 1 (pm20d1), mRNA","pm20d1"
"1250","NM_001127052.1","POR","+","DNA/hAT-Charlie",308,2458,2721,264,13.3,17.1,0.7,">NM_001127052.1 Xenopus tropicalis dimethylarginine dimethylaminohydrolase 1 (ddah1), mRNA","ddah1"
"1251","NM_001127052.1","DNA1_Xt","+","DNA",166,1794,1947,154,9.1,1.3,0,">NM_001127052.1 Xenopus tropicalis dimethylarginine dimethylaminohydrolase 1 (ddah1), mRNA","ddah1"
"1252","NM_001127054.1","Kolobok-N7_XT","C","DNA/Kolobok-T2",611,4975,5409,435,8.1,2.8,0.7,">NM_001127054.1 Xenopus tropicalis RAB11 binding and LisH (relch), mRNA","relch"
"1253","NM_001127068.1","XBR_Xt","C","DNA/Kolobok-T2",469,2646,2747,102,21.8,6.9,0.9,">NM_001127068.1 Xenopus tropicalis sphingosine-1-phosphate receptor 5 (s1pr5), mRNA","s1pr5"
"1254","NM_001127071.1","SINE2-1_XT","+","SINE/tRNA-V-Core-L2",336,1722,1909,188,18.6,5.3,0,">NM_001127071.1 Xenopus tropicalis coiled-coil domain containing 51 (ccdc51), mRNA","ccdc51"
"1255","NM_001127086.1","XBR_Xt","C","DNA/Kolobok-T2",469,1959,2176,218,12.9,11.9,0.8,">NM_001127086.1 Xenopus tropicalis pyridine nucleotide-disulphide oxidoreductase domain 1 (pyroxd1), mRNA","pyroxd1"
"1256","NM_001127090.1","DNA4_Xt","+","DNA/TcMar-Tigger",658,1922,2155,234,18.3,1.7,2.1,">NM_001127090.1 Xenopus tropicalis mediator complex subunit 22 (med22), mRNA","med22"
"1257","NM_001127097.1","XBR_Xt","+","DNA/Kolobok-T2",469,977,1102,126,14.3,23,0,">NM_001127097.1 Xenopus tropicalis TP53 induced glycolysis regulatory phosphatase (tigar), mRNA","tigar"
"1258","NM_001127100.1","XBR_Xt","+","DNA/Kolobok-T2",469,1779,1859,81,13.6,0,0,">NM_001127100.1 Xenopus tropicalis monoamine oxidase A (maoa), mRNA","maoa"
"1259","NM_001127105.1","DNA1A_XT","+","DNA",175,2965,3134,170,20.6,1.8,0,">NM_001127105.1 Xenopus tropicalis phospholipase A2 group IVA (pla2g4a), mRNA","pla2g4a"
"1260","NM_001127108.1","hAT-12N1A_XT","+","DNA/hAT-Ac",312,2146,2260,115,11.6,0,0.4,">NM_001127108.1 Xenopus tropicalis family with sequence similarity 78 member A (fam78a), mRNA","fam78a"
"1261","NM_001127108.1","DNA4_Xt","+","DNA/TcMar-Tigger",658,1808,1889,82,2.4,0,0,">NM_001127108.1 Xenopus tropicalis family with sequence similarity 78 member A (fam78a), mRNA","fam78a"
"1262","NM_001127117.1","Kolobok-N8_XT","C","DNA/Kolobok-T2",426,1840,2170,331,23.5,3.9,11.3,">NM_001127117.1 Xenopus tropicalis acyl-CoA thioesterase 9 (acot9), mRNA","acot9"
"1263","NM_001127117.1","DNA9_XT","C","DNA",460,1635,1754,120,20.2,3.3,0.8,">NM_001127117.1 Xenopus tropicalis acyl-CoA thioesterase 9 (acot9), mRNA","acot9"
"1264","NM_001127121.1","DNA9_XT","C","DNA",460,4963,5048,86,18.6,16.3,0,">NM_001127121.1 Xenopus tropicalis glycerophosphodiester phosphodiesterase domain containing 5 (gdpd5), mRNA","gdpd5"
"1265","NM_001127121.1","Harbinger-N3_XT","+","DNA/PIF-Harbinger",372,2576,2881,306,13.2,5.6,1.2,">NM_001127121.1 Xenopus tropicalis glycerophosphodiester phosphodiesterase domain containing 5 (gdpd5), mRNA","gdpd5"
"1266","NM_001127121.1","hAT-N11_XT","C","DNA/hAT-Tip100",280,5049,5312,264,4.7,9.1,2.9,">NM_001127121.1 Xenopus tropicalis glycerophosphodiester phosphodiesterase domain containing 5 (gdpd5), mRNA","gdpd5"
"1267","NM_001127125.1","Kolobok-N12_XT","C","DNA/Kolobok-T2",423,6809,6891,83,15.7,12.1,0,">NM_001127125.1 Xenopus tropicalis upstream transcription factor family member 3 (usf3), mRNA","usf3"
"1268","NM_001127127.1","L2-6_XT","+","LINE/L2",2089,5078,5199,122,21.5,11.5,0.7,">NM_001127127.1 Xenopus tropicalis amphibian RCA protein 3 (arc3), mRNA","arc3"
"1269","NM_001127127.1","DNA4_Xt","+","DNA/TcMar-Tigger",658,3364,3668,305,13.8,8.2,0,">NM_001127127.1 Xenopus tropicalis amphibian RCA protein 3 (arc3), mRNA","arc3"
"1270","NM_001127127.1","SINE2-1_XT","C","SINE/tRNA-V-Core-L2",336,5390,5556,167,22.8,3,3,">NM_001127127.1 Xenopus tropicalis amphibian RCA protein 3 (arc3), mRNA","arc3"
"1271","NM_001127127.1","Harbinger-N3B_XT","C","DNA/PIF-Harbinger",350,2803,2974,172,20.9,20.9,0,">NM_001127127.1 Xenopus tropicalis amphibian RCA protein 3 (arc3), mRNA","arc3"
"1272","NM_001127127.1","SINE2-1_XT","+","SINE/tRNA-V-Core-L2",336,5567,5665,99,15.3,30.3,0.8,">NM_001127127.1 Xenopus tropicalis amphibian RCA protein 3 (arc3), mRNA","arc3"
"1273","NM_001127128.1","XR-c_Xt","+","DNA/Kolobok-T2",600,4753,5243,491,22.3,12,4.3,">NM_001127128.1 Xenopus tropicalis ecotropic viral integration site 5-like (evi5l), mRNA","evi5l"
"1274","NM_001127128.1","Harbinger-N3_XT","C","DNA/PIF-Harbinger",372,5244,5486,243,14.9,0,0.4,">NM_001127128.1 Xenopus tropicalis ecotropic viral integration site 5-like (evi5l), mRNA","evi5l"
"1275","NM_001127130.1","CR1_1a_Xt","C","LINE/CR1",4756,34,215,182,20.1,0,1.7,">NM_001127130.1 Xenopus tropicalis methyltransferase like 22 (mettl22), mRNA","mettl22"
"1276","NM_001127139.1","SINE2-1_XT","+","SINE/tRNA-V-Core-L2",336,1505,1840,336,18,6.45,0,">NM_001127139.1 Xenopus tropicalis family with sequence similarity 177 member B (fam177b), mRNA","fam177b"
"1277","NM_001127143.1","Harbinger-N6_XT","+","DNA/PIF-Harbinger",329,1127,1627,501,17.4,0.7,4.5,">NM_001127143.1 Xenopus tropicalis U6 snRNA biogenesis phosphodiesterase 1 (usb1), mRNA","usb1"
"1278","NM_001127153.1","XBR_Xt","C","DNA/Kolobok-T2",469,1504,1703,200,20.2,9,0.9,">NM_001127153.1 Xenopus tropicalis general transcription factor IIH subunit 3 (gtf2h3), mRNA","gtf2h3"
"1279","NM_001127165.1","DNA1_Xt","+","DNA",166,1213,1299,87,17.2,19.5,0,">NM_001127165.1 Xenopus tropicalis dihydrodiol dehydrogenase (dimeric) (dhdh), mRNA","c""dimeric"", ""dhdh"""
"1280","NM_001127407.1","CR1-2_XT","C","LINE/CR1",4534,3884,3973,90,22.4,2.2,5.8,">NM_001127407.1 Xenopus tropicalis VPS11, CORVET/HOPS core subunit (vps11), mRNA","vps11"
"1281","NM_001127413.2","Penelope-5_XT","+","LINE/Penelope",2850,1117,1211,95,23,3.8,9,">NM_001127413.2 Xenopus tropicalis TATA-box binding protein associated factor 11 (taf11), mRNA","taf11"
"1282","NM_001127413.2","Kolobok-N8_XT","C","DNA/Kolobok-T2",426,1212,1475,264,24.2,11,1.4,">NM_001127413.2 Xenopus tropicalis TATA-box binding protein associated factor 11 (taf11), mRNA","taf11"
"1283","NM_001127419.1","Kolobok-N11_XT","C","DNA/Kolobok-T2",447,4503,4605,103,13.6,23.3,0,">NM_001127419.1 Xenopus tropicalis cullin 4B (cul4b), mRNA","cul4b"
"1284","NM_001127423.1","DNA1_Xt","C","DNA",166,3303,3462,160,9.4,2.5,0,">NM_001127423.1 Xenopus tropicalis zinc finger protein 800 (znf800), mRNA","znf800"
"1285","NM_001127424.2","hAT-N8_XT","+","DNA/hAT-Tip100",265,10574,10821,248,18.2,7.7,18.1,">NM_001127424.2 Xenopus tropicalis fibrillin 3 (fbn3), mRNA","fbn3"
"1286","NM_001127428.1","CR1-L2-1_XT","+","LINE/L2",4303,1958,2041,84,16,0,10.5,">NM_001127428.1 Xenopus tropicalis caspase 3, gene 2 (casp3.2), mRNA","casp3.2"
"1287","NM_001127428.1","Harbinger-N12A_XT","+","DNA/PIF-Harbinger",342,1441,1635,195,23,5.6,2,">NM_001127428.1 Xenopus tropicalis caspase 3, gene 2 (casp3.2), mRNA","casp3.2"
"1288","NM_001127430.1","Harbinger-N11_XT","C","DNA/PIF-Harbinger",199,1097,1293,197,8.1,1,0,">NM_001127430.1 Xenopus tropicalis ADP ribosylation factor like GTPase 6 interacting protein 5 (arl6ip5), mRNA","arl6ip5"
"1289","NM_001127430.1","Kolobok-N4_XT","+","DNA/Kolobok-T2",516,4239,4622,384,17.65,0.25,0.7,">NM_001127430.1 Xenopus tropicalis ADP ribosylation factor like GTPase 6 interacting protein 5 (arl6ip5), mRNA","arl6ip5"
"1290","NM_001127432.1","DNA1_Xt","C","DNA",166,2770,2887,118,12.7,0,0,">NM_001127432.1 Xenopus tropicalis heterogeneous nuclear ribonucleoprotein L like (hnrnpll), mRNA","hnrnpll"
"1291","NM_001127432.1","DNA10_XT","+","DNA",533,2014,2268,255,16.3,3.9,0,">NM_001127432.1 Xenopus tropicalis heterogeneous nuclear ribonucleoprotein L like (hnrnpll), mRNA","hnrnpll"
"1292","NM_001127436.1","XR-c_Xt","+","DNA/Kolobok-T2",600,3284,3803,520,11.6,17.7,2,">NM_001127436.1 Xenopus tropicalis semaphorin 3B (sema3b), mRNA","sema3b"
"1293","NM_001127436.1","Chap3_Xt","C","DNA/hAT-Charlie",186,3943,4096,154,29.7,6.5,3.8,">NM_001127436.1 Xenopus tropicalis semaphorin 3B (sema3b), mRNA","sema3b"
"1294","NM_001127941.1","Chap3_Xt","C","DNA/hAT-Charlie",186,1647,1744,98,12.2,0,0,">NM_001127941.1 Xenopus tropicalis SP110 nuclear body protein (sp110), mRNA","sp110"
"1295","NM_001127949.1","POR-1_Xt","C","DNA/hAT-Charlie",308,1967,2217,251,3.2,0.4,0,">NM_001127949.1 Xenopus tropicalis siglec-like 1 (siglecl1), mRNA","siglecl1"
"1296","NM_001127949.1","Harbinger-N5_XT","C","DNA/PIF-Harbinger",340,1495,1833,339,14,1.5,1.2,">NM_001127949.1 Xenopus tropicalis siglec-like 1 (siglecl1), mRNA","siglecl1"
"1297","NM_001127953.1","DNA4_Xt","C","DNA/TcMar-Tigger",658,2083,2191,109,6.8,1.4,0,">NM_001127953.1 Xenopus tropicalis reticulophagy regulator family member 2 (retreg2), mRNA","retreg2"
"1298","NM_001127958.1","hAT-N12_XT","C","DNA/hAT-Tip100",156,2594,2724,131,9.2,5.3,0,">NM_001127958.1 Xenopus tropicalis calcium channel, voltage-dependent, beta 1 subunit (cacnb1), mRNA","cacnb1"
"1299","NM_001127961.1","Chap4a_Xt","+","DNA/hAT-Charlie",958,2807,3575,769,6.1,8,2.5,">NM_001127961.1 Xenopus tropicalis double zinc ribbon and ankyrin repeat domains 1 (dzank1), mRNA","dzank1"
"1300","NM_001127961.1","Harbinger-N13_XT","C","DNA/PIF-Harbinger",321,3760,4017,258,18.7,0.8,0.4,">NM_001127961.1 Xenopus tropicalis double zinc ribbon and ankyrin repeat domains 1 (dzank1), mRNA","dzank1"
"1301","NM_001127961.1","Kolobok-N7_XT","C","DNA/Kolobok-T2",611,4134,4540,407,7.4,23.5,0.9,">NM_001127961.1 Xenopus tropicalis double zinc ribbon and ankyrin repeat domains 1 (dzank1), mRNA","dzank1"
"1302","NM_001127964.1","Kolobok-N2_XT","C","DNA/Kolobok-T2",496,2078,2556,479,25.8,5,1.4,">NM_001127964.1 Xenopus tropicalis BAI1-associated protein 2 (baiap2), mRNA","baiap2"
"1303","NM_001127964.1","XR-a_Xt","+","DNA/Kolobok-T2",610,3213,3361,149,16.2,3.4,0.7,">NM_001127964.1 Xenopus tropicalis BAI1-associated protein 2 (baiap2), mRNA","baiap2"
"1304","NM_001127966.1","DIRS-3A_XT","+","LTR/DIRS",5809,3094,3221,128,16.3,17.2,4.2,">NM_001127966.1 Xenopus tropicalis zyg-11 related, cell cycle regulator (zer1), mRNA","zer1"
"1305","NM_001127966.1","Harbinger-N13_XT","C","DNA/PIF-Harbinger",321,4213,4417,205,19,10.7,0,">NM_001127966.1 Xenopus tropicalis zyg-11 related, cell cycle regulator (zer1), mRNA","zer1"
"1306","NM_001127967.1","XBR_Xt","C","DNA/Kolobok-T2",469,3458,3593,136,16.9,5.2,0,">NM_001127967.1 Xenopus tropicalis KRIT1, ankyrin repeat containing (krit1), mRNA","krit1"
"1307","NM_001127968.1","POR","+","DNA/hAT-Charlie",308,2423,2728,306,13.1,0.3,0,">NM_001127968.1 Xenopus tropicalis rhophilin associated tail protein 1-like (ropn1l), mRNA","ropn1l"
"1308","NM_001127968.1","DNA5_Xt","+","DNA/TcMar-Tc2",529,1295,1822,528,1.5,0.4,0.2,">NM_001127968.1 Xenopus tropicalis rhophilin associated tail protein 1-like (ropn1l), mRNA","ropn1l"
"1309","NM_001127973.2","Kolobok-N8_XT","C","DNA/Kolobok-T2",426,2060,2167,108,14.8,13,0,">NM_001127973.2 Xenopus tropicalis F-box protein 47 (fbxo47), mRNA","fbxo47"
"1310","NM_001127974.1","DNA4_Xt","C","DNA/TcMar-Tigger",658,3036,3141,106,17.9,0,0,">NM_001127974.1 Xenopus tropicalis retinoic acid receptor responder (tazarotene induced) 1 (rarres1), mRNA","c""tazarotene induced"", ""rarres1"""
"1311","NM_001127974.1","hAT-N12_XT","+","DNA/hAT-Tip100",156,3382,3512,131,8.4,19.1,0,">NM_001127974.1 Xenopus tropicalis retinoic acid receptor responder (tazarotene induced) 1 (rarres1), mRNA","c""tazarotene induced"", ""rarres1"""
"1312","NM_001127974.1","DNA10_XT","+","DNA",533,1540,1781,242,26.3,26.4,4.1,">NM_001127974.1 Xenopus tropicalis retinoic acid receptor responder (tazarotene induced) 1 (rarres1), mRNA","c""tazarotene induced"", ""rarres1"""
"1313","NM_001127975.1","PIRc_Xt","C","DNA/Kolobok-T2",462,836,1043,208,13.5,1,7.1,">NM_001127975.1 Xenopus tropicalis adenosylhomocysteinase like 1 (ahcyl1), mRNA","ahcyl1"
"1314","NM_001127984.1","Kolobok-N8_XT","C","DNA/Kolobok-T2",426,2483,2626,144,18.9,2.1,8.1,">NM_001127984.1 Xenopus tropicalis NME/NM23 family member 9 (nme9), mRNA","nme9"
"1315","NM_001127984.1","Kolobok-N8_XT","+","DNA/Kolobok-T2",426,2716,2810,95,12.6,4.2,0,">NM_001127984.1 Xenopus tropicalis NME/NM23 family member 9 (nme9), mRNA","nme9"
"1316","NM_001128001.1","hAT-12N1_XT","C","DNA/hAT-Ac",281,2434,2698,265,12.4,11.7,5.3,">NM_001128001.1 Xenopus tropicalis transmembrane protein 59 like (tmem59l), mRNA","tmem59l"
"1317","NM_001128005.1","XBR_Xt","C","DNA/Kolobok-T2",469,3519,3963,445,15.7,6.5,1.3,">NM_001128005.1 Xenopus tropicalis Josephin domain containing 1 (josd1), mRNA","josd1"
"1318","NM_001128006.2","Tc1-17a_Xen","C","DNA/TcMar-Tc1",890,1681,2152,472,14.3,12.9,2.3,">NM_001128006.2 Xenopus tropicalis phospholipid phosphatase 5 (plpp5), mRNA","plpp5"
"1319","NM_001128008.1","hAT-N12_XT","C","DNA/hAT-Tip100",156,1441,1586,146,6.2,0,0,">NM_001128008.1 Xenopus tropicalis StAR related lipid transfer domain containing 7 (stard7), mRNA","stard7"
"1320","NM_001128010.1","Harbinger-N1_XT","C","DNA/PIF-Harbinger",341,2457,2768,312,30.3,8.3,1.5,">NM_001128010.1 Xenopus tropicalis protein tyrosine phosphatase non-receptor type 9 (ptpn9), mRNA","ptpn9"
"1321","NM_001128014.1","Harbinger-N16_XT","+","DNA/PIF-Harbinger",247,2620,2760,141,19.3,14.9,0.6,">NM_001128014.1 Xenopus tropicalis transmembrane and tetratricopeptide repeat containing 4 (tmtc4), mRNA","tmtc4"
"1322","NM_001128020.1","DNA4_Xt","+","DNA/TcMar-Tigger",658,2056,2308,253,25.1,15.8,0.7,">NM_001128020.1 Xenopus tropicalis Werner helicase interacting protein 1 (wrnip1), mRNA","wrnip1"
"1323","NM_001128031.1","Harbinger-N14_XT","+","DNA/PIF-Harbinger",410,2103,2498,396,4.3,3.8,0.2,">NM_001128031.1 Xenopus tropicalis NOP9 nucleolar protein (nop9), mRNA","nop9"
"1324","NM_001128033.1","XBR_Xt","+","DNA/Kolobok-T2",469,3791,4022,232,14.8,6,0.8,">NM_001128033.1 Xenopus tropicalis quiescin sulfhydryl oxidase 2 (qsox2), mRNA","qsox2"
"1325","NM_001128034.1","L2-3_XT","+","LINE/L2",4546,1915,2713,799,7.15,0.3,1.8,">NM_001128034.1 Xenopus tropicalis BCL7C, BAF complex component (bcl7c), mRNA","bcl7c"
"1326","NM_001128035.1","Harbinger-N11_XT","C","DNA/PIF-Harbinger",199,3834,4027,194,11.4,0.5,0.5,">NM_001128035.1 Xenopus tropicalis adaptor related protein complex 3 subunit beta 2 (ap3b2), mRNA","ap3b2"
"1327","NM_001128042.1","DIRS-19_XT","C","LTR/DIRS",5643,24,196,173,16.7,1.2,10.1,">NM_001128042.1 Xenopus tropicalis pecanex 4 (pcnx4), mRNA","pcnx4"
"1328","NM_001128049.1","hAT-12N1_XT","+","DNA/hAT-Ac",281,3428,3684,257,10.8,16.3,6.4,">NM_001128049.1 Xenopus tropicalis polymerase (RNA) III (DNA directed) polypeptide B (polr3b), mRNA","c""RNA"", ""DNA directed"", ""polr3b"""
"1329","NM_001128056.1","Kolobok-N11_XT","C","DNA/Kolobok-T2",447,1989,2112,124,22.1,5.7,1.6,">NM_001128056.1 Xenopus tropicalis F-box and leucine-rich repeat protein 8 (fbxl8), mRNA","fbxl8"
"1330","NM_001128056.1","Kolobok-N5_XT","+","DNA/Kolobok-T2",509,2156,2282,127,7.9,1.6,0.8,">NM_001128056.1 Xenopus tropicalis F-box and leucine-rich repeat protein 8 (fbxl8), mRNA","fbxl8"
"1331","NM_001128182.1","DNA1A_XT","+","DNA",175,2201,2374,174,11.6,0,1.2,">NM_001128182.1 Xenopus tropicalis family with sequence similarity 107 member A (fam107a), mRNA","fam107a"
"1332","NM_001128638.1","Harbinger-N3B_XT","+","DNA/PIF-Harbinger",350,4912,5227,316,22.9,15.5,4.6,">NM_001128638.1 Xenopus tropicalis Cbl proto-oncogene, E3 ubiquitin protein ligase (cbl), mRNA","cbl"
"1333","NM_001128639.1","Kolobok-2_XT","+","DNA/Kolobok-T2",8367,2065,2158,94,10.3,7.8,1.5,">NM_001128639.1 Xenopus tropicalis par-6 family cell polarity regulator beta (pard6b), mRNA","pard6b"
"1334","NM_001128644.1","DNA9_XT","+","DNA",460,4148,4397,250,21.1,21.2,1.3,">NM_001128644.1 Xenopus tropicalis HERV-H LTR-associating 2 (hhla2), mRNA","hhla2"
"1335","NM_001128644.1","DNA2_Xt","C","DNA/PIF-Harbinger",487,2065,2426,362,9,4.5,0.9,">NM_001128644.1 Xenopus tropicalis HERV-H LTR-associating 2 (hhla2), mRNA","hhla2"
"1336","NM_001128657.1","Kolobok-N10_XT","C","DNA/Kolobok-T2",417,1407,1809,403,17.3,4.5,1,">NM_001128657.1 Xenopus tropicalis negative elongation factor complex member E (nelfe), mRNA","nelfe"
"1337","NM_001128663.3","DNA4_Xt","C","DNA/TcMar-Tigger?",658,7689,7773,85,9.5,3.5,1.1,">NM_001128663.3 Xenopus tropicalis ligand dependent nuclear receptor corepressor (lcor), transcript variant 2, mRNA","lcor"
"1338","NM_001128663.3","DNA9_XT","+","DNA",460,9025,9325,301,20.1,21.6,2.5,">NM_001128663.3 Xenopus tropicalis ligand dependent nuclear receptor corepressor (lcor), transcript variant 2, mRNA","lcor"
"1339","NM_001128663.3","POR-1_Xt","C","DNA/hAT-Charlie",308,7809,7899,91,5.9,0.1,0,">NM_001128663.3 Xenopus tropicalis ligand dependent nuclear receptor corepressor (lcor), transcript variant 2, mRNA","lcor"
"1340","NM_001129915.1","XBR_Xt","+","DNA/Kolobok-T2",469,3791,4057,267,16.7,15.35,0.9,">NM_001129915.1 Xenopus tropicalis SUFU negative regulator of hedgehog signaling (sufu), mRNA","sufu"
"1341","NM_001129917.1","DNA1A_XT","+","DNA",175,1879,1980,102,21.8,22.6,0.8,">NM_001129917.1 Xenopus tropicalis nuclear factor, erythroid 2 (nfe2), mRNA","nfe2"
"1342","NM_001129917.1","DNA4_Xt","+","DNA/TcMar-Tigger",658,2702,2984,283,14.9,1.8,0.3,">NM_001129917.1 Xenopus tropicalis nuclear factor, erythroid 2 (nfe2), mRNA","nfe2"
"1343","NM_001129926.1","DNA1A_XT","C","DNA",175,1662,1823,162,13.2,9.9,1.7,">NM_001129926.1 Xenopus tropicalis regulator of microtubule dynamics 3 (rmdn3), mRNA","rmdn3"
"1344","NM_001129927.1","DNA1A_XT","C","DNA",175,2993,3110,118,12,20.3,1.4,">NM_001129927.1 Xenopus tropicalis angiotensin II receptor type 1 (agtr1), mRNA","agtr1"
"1345","NM_001129929.2","CR1-2_XT","C","LINE/CR1",4534,6467,6888,422,21.4,11.5,3,">NM_001129929.2 Xenopus tropicalis formin 1 (fmn1), mRNA","fmn1"
"1346","NM_001129929.2","XBR_Xt","C","DNA/Kolobok-T2",469,6892,7186,295,14.4,1,0.45,">NM_001129929.2 Xenopus tropicalis formin 1 (fmn1), mRNA","fmn1"
"1347","NM_001129929.2","DNA1_Xt","C","DNA",166,6251,6385,135,4.4,22.2,0,">NM_001129929.2 Xenopus tropicalis formin 1 (fmn1), mRNA","fmn1"
"1348","NM_001129930.1","XR-c_Xt","C","DNA/Kolobok-T2",600,2856,3413,558,18,10.2,2.5,">NM_001129930.1 Xenopus tropicalis signal transducer and activator of transcription 2 (stat2), mRNA","stat2"
"1349","NM_001129930.1","Harbinger-N14_XT","C","DNA/PIF-Harbinger",410,2471,2835,365,7.1,0.6,0,">NM_001129930.1 Xenopus tropicalis signal transducer and activator of transcription 2 (stat2), mRNA","stat2"
"1350","NM_001129930.1","LTR3A_XT","+","LTR",804,4260,4506,247,6.5,6.9,0,">NM_001129930.1 Xenopus tropicalis signal transducer and activator of transcription 2 (stat2), mRNA","stat2"
"1351","NM_001129934.1","XBR_Xt","+","DNA/Kolobok-T2",469,1784,2158,375,10.1,25.6,2.6,">NM_001129934.1 Xenopus tropicalis POU class 5 homeobox 3, gene 2 (pou5f3.2), mRNA","pou5f3.2"
"1352","NM_001129935.1","Harbinger-N3_XT","C","DNA/PIF-Harbinger",372,5294,5670,377,11.2,0,3,">NM_001129935.1 Xenopus tropicalis mindbomb E3 ubiquitin protein ligase 1 (mib1), mRNA","mib1"
"1353","NM_001129935.1","POR-1_Xt","C","DNA/hAT-Charlie",308,7201,7504,304,6.6,0.7,0,">NM_001129935.1 Xenopus tropicalis mindbomb E3 ubiquitin protein ligase 1 (mib1), mRNA","mib1"
"1354","NM_001129935.1","Harbinger-N9_XT","C","DNA/PIF-Harbinger",309,5675,5981,307,16.8,3.6,3.2,">NM_001129935.1 Xenopus tropicalis mindbomb E3 ubiquitin protein ligase 1 (mib1), mRNA","mib1"
"1355","NM_001129935.1","Kolobok-N11_XT","C","DNA/Kolobok-T2",447,5982,6078,97,22.2,17.6,1.4,">NM_001129935.1 Xenopus tropicalis mindbomb E3 ubiquitin protein ligase 1 (mib1), mRNA","mib1"
"1356","NM_001129941.1","DNA9_XT","+","DNA",460,2356,2566,211,22.5,12.3,3,">NM_001129941.1 Xenopus tropicalis neurocalcin delta (ncald), mRNA","ncald"
"1357","NM_001129941.1","XR-a_Xt","+","DNA/Kolobok-T2",610,1825,1966,142,25.1,2.5,6.6,">NM_001129941.1 Xenopus tropicalis neurocalcin delta (ncald), mRNA","ncald"
"1358","NM_001129941.1","DNA4_Xt","C","DNA/TcMar-Tigger",658,1510,1824,315,19.5,7.9,0.6,">NM_001129941.1 Xenopus tropicalis neurocalcin delta (ncald), mRNA","ncald"
"1359","NM_001129941.1","XR-c_Xt","+","DNA/Kolobok-T2",600,1987,2201,215,12.6,7.9,0.4,">NM_001129941.1 Xenopus tropicalis neurocalcin delta (ncald), mRNA","ncald"
"1360","NM_001129942.1","DNA1A_XT","+","DNA",175,2982,3153,172,30.5,4.1,6.5,">NM_001129942.1 Xenopus tropicalis NCK interacting protein with SH3 domain (nckipsd), mRNA","nckipsd"
"1361","NM_001129942.1","DNA1_Xt","C","DNA",166,3021,3107,87,11.1,1.1,17.3,">NM_001129942.1 Xenopus tropicalis NCK interacting protein with SH3 domain (nckipsd), mRNA","nckipsd"
"1362","NM_001129942.1","Harbinger-N3A_XT","C","DNA/PIF-Harbinger",361,3163,3429,267,14.5,34.7,0,">NM_001129942.1 Xenopus tropicalis NCK interacting protein with SH3 domain (nckipsd), mRNA","nckipsd"
"1363","NM_001130199.1","ERV1-N1-LTR_XT","+","LTR/ERV1",549,2024,2399,376,19.3,2.6,0.75,">NM_001130199.1 Xenopus tropicalis major histocompatibility complex, class I-related -like (mr1-like), mRNA","mr1-like"
"1364","NM_001130218.1","UB7b_Xt","+","DNA/Kolobok-T2",2010,1531,1705,175,24.6,13.7,2.6,">NM_001130218.1 Xenopus tropicalis PQ loop repeat containing 2 like (pqlc2l), mRNA","pqlc2l"
"1365","NM_001130221.1","DNA1_Xt","C","DNA",166,1595,1737,143,15.1,7.7,2.7,">NM_001130221.1 Xenopus tropicalis adenylate kinase 3 (ak3), mRNA","ak3"
"1366","NM_001130221.1","Kolobok-N10_XT","C","DNA/Kolobok-T2",417,2091,2262,172,20.7,1.7,1.7,">NM_001130221.1 Xenopus tropicalis adenylate kinase 3 (ak3), mRNA","ak3"
"1367","NM_001130228.1","hAT-N12_XT","C","DNA/hAT-Tip100",156,1342,1462,121,8.3,3.3,0,">NM_001130228.1 Xenopus tropicalis lto1 (lto1), mRNA","lto1"
"1368","NM_001130255.1","POR","+","DNA/hAT-Charlie",308,2224,2434,211,19,10.9,0.4,">NM_001130255.1 Xenopus tropicalis spartin (spart), mRNA","spart"
"1369","NM_001130263.1","POR-2_Xt","C","DNA/hAT-Charlie",307,2251,2526,276,8.7,0.4,0.4,">NM_001130263.1 Xenopus tropicalis coiled-coil domain containing 125 (ccdc125), mRNA","ccdc125"
